,ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseRoom,houseOrientation,houseAge
171,172,东城永定门西革新里116号百荣嘉园,116.38435202669739,39.86564585949484,72930,486.0,66.64,3,4,西南,9.0
172,173,"石景山金顶街金顶路,近阳光西街金顶阳光柳青园",116.15875652633392,39.92659094819062,50252,389.0,77.41,2,4,南北,15.0
173,174,丰台玉泉营丰台东路万芳园一区(万年花城二期),116.30938883992206,39.84473911019509,73800,658.0,89.16,2,4,西南,18.0
174,175,门头沟门头沟周边永定石龙南路保利首开四季怡园(北区),116.10138703336473,39.898095443467426,41405,368.0,88.88,3,6,南北,6.0
175,176,朝阳西坝河太阳宫南街西坝河北里,116.43278237998919,39.96791110080311,73725,578.0,78.4,2,4,南北,24.0
176,177,朝阳建外大街建国门外大街16号东方瑞景,116.43681106991872,39.905113505336026,74507,645.0,86.57,1,3,东西,20.0
177,178,海淀厂洼西三环北路23号西三环北路23号院,116.3027055801741,39.9519971002757,82178,628.0,76.42,3,5,南北,36.0
178,179,丰台石榴庄光彩路66号彩虹城(三区),116.41341785740217,39.83695416702599,57714,535.0,92.7,2,5,南北,19.0
179,180,朝阳安贞北辰路安贞西里社区(安贞西里二区),116.38862638359413,39.97232606824444,70689,430.0,60.83,2,4,南北,39.0
180,181,大兴亦庄四合路3号金域东郡,116.48184606120853,39.75271416890223,76525,680.0,88.86,3,6,南北,9.0
181,182,朝阳望京阜安西路慧谷阳光,116.4741073348968,40.00203835087717,77301,520.0,67.27,1,3,西,21.0
182,183,朝阳北苑秋实东街紫绶园,116.42096436659733,40.04133721086445,49212,412.0,83.72,2,4,南北,24.0
183,184,海淀公主坟莲宝路10号莲宝路10号院,116.29112516024333,39.88745712865911,57433,425.0,74.0,2,4,西南,27.0
184,185,东城崇文门崇文门东大街崇文门东大街社区,116.42026352316223,39.898934741364265,91902,699.0,76.06,3,5,南北,24.0
185,186,昌平回龙观农学院北路9号领秀慧谷C区(一区),116.29654026983704,40.098503003147755,63676,569.0,89.36,2,5,南北,10.0
186,187,通州新华大街通胡大街82号运河园,116.68047845868008,39.910874433691966,38065,339.0,89.06,2,4,南北,23.0
187,188,海淀五棵松田村路永金里住宅小区,116.26576882594443,39.919607730356034,65169,580.0,89.0,2,4,东西,24.0
