ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseRoom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum
136,增城永和新新六路205号珠江花屿花城,113.58998859198552,23.19546122353441,11305,100.0,88.46,4,8,南北,4.0,0,满五年,高层,32.0
137,黄埔知识城九龙大道合景天峻,113.54857783152548,23.329257748373028,9144,96.0,104.99,3,7,南北,9.0,1,满五年,中层,24.0
138,海珠新港西顺景街4-16号顺景雅苑,113.28884974079622,23.08999701411694,43542,358.0,82.22,3,6,南北,20.0,1,满五年,中层,13.0
139,番禺广州雅居乐兴南大道398号广州雅居乐花园雅逸庭,113.35737354656293,23.01057314990226,34941,345.0,98.74,3,7,南北,15.0,0,,高层,23.0
140,天河天河公园华翠街粤和居,113.3634745634798,23.127778635844862,43674,428.0,98.0,3,5,南,24.0,1,满五年,中层,18.0
141,黄埔萝岗香雪大道新福港鼎峰,113.48169126013896,23.18155926812648,43152,390.0,90.38,3,6,南,12.0,1,,低层,32.0
142,番禺番禺广场城区大道城市花园,113.39759196746662,22.94319617342557,18750,150.0,80.0,3,7,南北,16.0,0,满五年,中层,7.0
143,荔湾西关存善西街13号存善西街小区,113.23722724835586,23.122596271399736,26730,175.0,65.47,3,7,南北,24.0,1,满五年,中层,9.0
144,荔湾中山八路周门街中兴苑,113.2336846488859,23.133235600981465,29688,190.0,64.0,3,6,南北,24.0,1,满五年,高层,9.0
145,番禺南浦南浦大道广州碧桂园,113.28406151395409,23.03104504099668,19513,200.0,102.5,3,7,南,25.0,1,满五年,高层,7.0
146,黄埔大沙地丰乐南路438号黄埔花园,113.4507337457242,23.101080420747607,39920,378.0,94.69,3,6,南北,16.0,1,满五年,中层,16.0
147,天河沙太南广州大道北920号信达金茂府(商住楼),113.31652638972332,23.17264241424556,26274,115.0,43.77,1,3,南,4.0,0,,中层,25.0
148,荔湾长寿路十八甫南路30号西关大厦,113.24376412920168,23.11516263011934,26072,146.0,56.0,3,5,东南,24.0,1,满五年,中层,20.0
149,越秀东川中山三路东关汛东关汛小区,113.27520515549033,23.1263165317316,33123,178.0,53.74,3,6,东,29.0,1,满五年,高层,6.0
150,"黄埔鱼珠茅岗路,近坑田路五矿招商鹭山府",113.4312917088896,23.108692333855604,35752,345.0,96.5,3,7,南,3.0,1,满二年,中层,31.0
151,荔湾荔湾路中山八路12号东浚荔景苑,113.2349673223818,23.129157825266795,37219,358.0,96.19,3,6,东,24.0,1,,低层,37.0
152,花都铁路西新街大道中祈福万景峰,113.19329805264412,23.371904784558392,14630,133.0,90.91,3,7,南,8.0,1,满五年,中层,31.0
153,白云南湖同和路688号一品湖山,113.32607945076867,23.21680098189649,32172,310.0,96.36,4,7,南北,13.0,1,满五年,中层,8.0
154,从化街口中心区105国道珠光御景山水城,113.6109705337932,23.58986652481471,7539,68.0,90.2,3,6,北,8.0,0,,中层,32.0
155,增城新塘新沙大道北30号锦绣天伦花园,113.63386607085332,23.12926906631763,11751,95.0,80.85,2,5,北,9.0,1,满五年,高层,32.0
156,增城永和永宁大道28号时代廊桥(增城),113.61224410647888,23.19445580623688,11907,110.0,92.39,3,7,南,7.0,0,,高层,33.0
157,白云黄石石槎路1332号金碧新城,113.23639240582384,23.206306751990525,32259,300.0,93.0,3,6,南,18.0,1,满五年,低层,32.0
158,越秀麓湖麓景路狮带岗小区,113.27251665430032,23.14868347711676,44681,420.0,94.0,3,6,东南,34.0,1,满五年,高层,8.0
